coefficient_rank,feature,coefficient,absolute_coefficient,odds_ratio,effect_direction,interpretation
13,very_long_description,-1.7921581062548813,1.7921581062548813,0.1666002404030594,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.167.
14,additions,1.7661025397536942,1.7661025397536942,5.848016475629965,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 5.848.
15,has_any_iqr_outlier,1.7218879245484449,1.7218879245484449,5.595081591274505,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 5.595.
16,files_added_iqr_outlier,-1.6400610927015604,1.6400610927015604,0.19396819188804978,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.194.
17,configuration_files_changed_iqr_outlier,-1.3920014378361558,1.3920014378361558,0.24857729442740129,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.249.
18,has_configuration_changes,-1.3920014378361558,1.3920014378361558,0.24857729442740129,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.249.
19,log1p_body_word_count,-1.3790392092063635,1.3790392092063635,0.25182038357307496,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.252.
20,log1p_deletions,-1.3707518045312312,1.3707518045312312,0.2539159925831024,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.254.
21,has_test_changes,-1.3615290082694813,1.3615290082694813,0.25626864036957914,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.256.
22,test_files_changed_iqr_outlier,-1.3615290082694813,1.3615290082694813,0.25626864036957914,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.256.
23,log1p_changed_files,-1.3550338980924748,1.3550338980924748,0.2579385506787842,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.258.
24,has_detailed_description,1.2698548258360167,1.2698548258360167,3.5603356560833386,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 3.560.
25,files_modified_iqr_outlier,-1.1731155982186794,1.1731155982186794,0.3094014673714974,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.309.
26,requested_reviewer_count,-1.0586552429830396,1.0586552429830396,0.3469220226129278,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.347.
27,requested_reviewer_count_iqr_outlier,-1.0586552429830396,1.0586552429830396,0.3469220226129278,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.347.
28,commit_count_iqr_outlier,-1.04886417768004,1.04886417768004,0.35033544202868344,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.350.
29,has_multiple_commits,-1.04886417768004,1.04886417768004,0.35033544202868344,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.350.
30,body_length,-1.0055072583621865,1.0055072583621865,0.3658590026877796,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.366.
31,short_title,-0.9957938005049144,0.9957938005049144,0.36943007434121367,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.369.
32,has_security_sensitive_changes,-0.9683032594515192,0.9683032594515192,0.37972678965062395,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.380.
33,security_sensitive_files_changed_iqr_outlier,-0.9683032594515192,0.9683032594515192,0.37972678965062395,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.380.
34,body_word_count,-0.9672238892911154,0.9672238892911154,0.38013687669452395,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.380.
35,log1p_commit_count,-0.8344786997571747,0.8344786997571747,0.4341007192693137,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.434.
36,documentation_files_changed,0.7099363389105319,0.7099363389105319,2.033861776668782,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 2.034.
37,log1p_total_changes,0.6913169080199277,0.6913169080199277,1.9963428027747285,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.996.
38,commit_count,0.6559803637534439,0.6559803637534439,1.9270307827628468,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.927.
39,log1p_additions,0.6178348893041752,0.6178348893041752,1.8549076107698839,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.855.
40,deletion_ratio,0.5964342088319403,0.5964342088319403,1.815633075507267,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.816.
41,created_on_weekend,-0.5804137370157485,0.5804137370157485,0.5596667638007189,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.560.
42,created_day_of_week,0.5352948401819307,0.5352948401819307,1.707951740826753,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.708.
43,label_count,0.5220681064265635,0.5220681064265635,1.6855098614419917,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.686.
44,has_description,0.48368925775151506,0.48368925775151506,1.6220475286348928,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.622.
45,configuration_files_changed,-0.4291204356687111,0.4291204356687111,0.6510815110217902,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.651.
46,files_modified,0.36364448109234226,0.36364448109234226,1.4385626869995665,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.439.
47,files_added,-0.3099937083249583,0.3099937083249583,0.7334515708487149,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.733.
48,changed_files,0.2926547234712938,0.2926547234712938,1.339980046889911,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.340.
49,files_renamed,0.2920645926422328,0.2920645926422328,1.3391895166349943,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.339.
50,files_renamed_iqr_outlier,0.2920645926422328,0.2920645926422328,1.3391895166349943,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.339.
51,files_removed,0.2369095226239758,0.2369095226239758,1.2673264482162607,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.267.
52,has_documentation_changes,-0.19389526921036496,0.19389526921036496,0.8237441711285993,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.824.
53,security_sensitive_files_changed,-0.18042655173079264,0.18042655173079264,0.8349140014333073,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.835.
54,test_files_changed,0.1544394859272221,0.1544394859272221,1.1670036557765373,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.167.
55,total_changes,-0.10839676700299339,0.10839676700299339,0.8972715180639395,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.897.
56,title_length,-0.09919518474421446,0.09919518474421446,0.9055659381167145,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.906.
57,created_hour_utc,-0.03991104195469676,0.03991104195469676,0.9608749129045108,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.961.
58,change_density_per_file,0.035769721349942586,0.035769721349942586,1.0364171542659362,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.036.
