chunk_id,document_id,chunk_index,section_name,character_count,word_count,repository,pr_number,review_priority,policy_risk_band,manual_review_required
prchunk_0ec96661633eba12c995,prdoc_1908e0b55ad11421c346,1,PR description,653,109,pallets/flask,4139,Critical,Critical,True
prchunk_566ceb5a25ca4dccc755,prdoc_1908e0b55ad11421c346,2,Change evidence,405,68,pallets/flask,4139,Critical,Critical,True
prchunk_e530498e9c05098067ba,prdoc_1908e0b55ad11421c346,3,Predictive intelligence,426,59,pallets/flask,4139,Critical,Critical,True
prchunk_8cc1001714fb488df006,prdoc_1908e0b55ad11421c346,4,Deterministic policy intelligence,754,103,pallets/flask,4139,Critical,Critical,True
prchunk_78ea6c25df053f232061,prdoc_1908e0b55ad11421c346,5,Unified review priority,306,41,pallets/flask,4139,Critical,Critical,True
prchunk_692d09c8a1c6f03c7d13,prdoc_d838c75e7379dbb6f883,0,PR identity,269,35,pallets/flask,5798,Critical,Critical,True
prchunk_c945a74b8128e98308f0,prdoc_d838c75e7379dbb6f883,1,PR description,183,27,pallets/flask,5798,Critical,Critical,True
prchunk_03215333006aef4dd26e,prdoc_d838c75e7379dbb6f883,2,Change evidence,404,68,pallets/flask,5798,Critical,Critical,True
prchunk_0db930e03d8c24044342,prdoc_d838c75e7379dbb6f883,3,Predictive intelligence,426,59,pallets/flask,5798,Critical,Critical,True
prchunk_c47992b2a6a40e3241f6,prdoc_d838c75e7379dbb6f883,4,Deterministic policy intelligence,748,101,pallets/flask,5798,Critical,Critical,True
prchunk_1c801898c65f9ffcdb41,prdoc_d838c75e7379dbb6f883,5,Unified review priority,306,41,pallets/flask,5798,Critical,Critical,True
prchunk_12724faf64a097db8baf,prdoc_69e9ee304279e3c60fe0,0,PR identity,266,37,pallets/flask,5017,Critical,Critical,True
prchunk_abf791637896af61da6c,prdoc_69e9ee304279e3c60fe0,1,PR description,1031,180,pallets/flask,5017,Critical,Critical,True
prchunk_1ed234d5e8b41e57c587,prdoc_69e9ee304279e3c60fe0,2,PR description,237,44,pallets/flask,5017,Critical,Critical,True
prchunk_8fb2ff03fb6decb16f63,prdoc_69e9ee304279e3c60fe0,3,Change evidence,411,68,pallets/flask,5017,Critical,Critical,True
prchunk_11729f5ff5985ca9da99,prdoc_69e9ee304279e3c60fe0,4,Predictive intelligence,474,67,pallets/flask,5017,Critical,Critical,True
prchunk_608427704b4094107c96,prdoc_69e9ee304279e3c60fe0,5,Deterministic policy intelligence,971,131,pallets/flask,5017,Critical,Critical,True
prchunk_ce6c66daebd036fc7d5f,prdoc_69e9ee304279e3c60fe0,6,Unified review priority,306,41,pallets/flask,5017,Critical,Critical,True
prchunk_05e3f24861ad29fb43fb,prdoc_3c8e2ba1646df3130162,0,PR identity,275,38,pallets/flask,4415,Critical,Critical,True
prchunk_6526fc9d083b75062a2c,prdoc_3c8e2ba1646df3130162,1,PR description,1053,180,pallets/flask,4415,Critical,Critical,True
prchunk_51ae6fea6a8b812daea4,prdoc_3c8e2ba1646df3130162,2,PR description,360,70,pallets/flask,4415,Critical,Critical,True
prchunk_f41c119dab9c0a218430,prdoc_3c8e2ba1646df3130162,3,Change evidence,402,68,pallets/flask,4415,Critical,Critical,True
prchunk_bb73b0aa2b0954135a5e,prdoc_3c8e2ba1646df3130162,4,Predictive intelligence,474,67,pallets/flask,4415,Critical,Critical,True
prchunk_72d4a422a927884d2ec0,prdoc_3c8e2ba1646df3130162,5,Deterministic policy intelligence,754,103,pallets/flask,4415,Critical,Critical,True
prchunk_b2cbfd9692fb4baf01b2,prdoc_3c8e2ba1646df3130162,6,Unified review priority,306,41,pallets/flask,4415,Critical,Critical,True
prchunk_fc4fbf95c70074c423a3,prdoc_f2f91946be86f82f5f5d,0,PR identity,258,34,pallets/flask,5457,Critical,Critical,True
prchunk_601d505f8ad0b2d5c8a9,prdoc_f2f91946be86f82f5f5d,1,PR description,239,36,pallets/flask,5457,Critical,Critical,True
prchunk_abca38e658333a13fae1,prdoc_f2f91946be86f82f5f5d,2,Change evidence,410,68,pallets/flask,5457,Critical,Critical,True
prchunk_73b5055dc6d1ad6bc062,prdoc_f2f91946be86f82f5f5d,3,Predictive intelligence,426,59,pallets/flask,5457,Critical,Critical,True
prchunk_5c0017d56f7cafc1a6ad,prdoc_f2f91946be86f82f5f5d,4,Deterministic policy intelligence,990,128,pallets/flask,5457,Critical,Critical,True
prchunk_e50f246a11fd82d9cd30,prdoc_f2f91946be86f82f5f5d,5,Unified review priority,306,41,pallets/flask,5457,Critical,Critical,True
prchunk_a0a7c581188757164f3c,prdoc_c1b926c76a39e24f30d8,0,PR identity,284,38,pallets/flask,5765,Critical,Critical,True
prchunk_459755cfecd68d60ef29,prdoc_c1b926c76a39e24f30d8,1,PR description,715,103,pallets/flask,5765,Critical,Critical,True
prchunk_d3e07d122464feeec9d3,prdoc_c1b926c76a39e24f30d8,2,Change evidence,405,68,pallets/flask,5765,Critical,Critical,True
prchunk_393933dca4576a08afba,prdoc_c1b926c76a39e24f30d8,3,Predictive intelligence,474,67,pallets/flask,5765,Critical,Critical,True
prchunk_0784a0bafe6e86d58911,prdoc_c1b926c76a39e24f30d8,4,Deterministic policy intelligence,754,103,pallets/flask,5765,Critical,Critical,True
prchunk_11a0d14f664d56eff3d1,prdoc_c1b926c76a39e24f30d8,5,Unified review priority,306,41,pallets/flask,5765,Critical,Critical,True
prchunk_f30a29bf35566f1caf6d,prdoc_2a821b9cecaaa89bbfaa,0,PR identity,271,36,pallets/flask,5460,Critical,Critical,True
prchunk_7bd17fcae7432b175e56,prdoc_2a821b9cecaaa89bbfaa,1,PR description,550,91,pallets/flask,5460,Critical,Critical,True
prchunk_2be96d294c54c0f14aba,prdoc_2a821b9cecaaa89bbfaa,2,Change evidence,404,68,pallets/flask,5460,Critical,Critical,True
prchunk_ba3532aa66a2612e3547,prdoc_2a821b9cecaaa89bbfaa,3,Predictive intelligence,414,57,pallets/flask,5460,Critical,Critical,True
prchunk_1d7cd2114e9f10fe1953,prdoc_2a821b9cecaaa89bbfaa,4,Deterministic policy intelligence,634,88,pallets/flask,5460,Critical,Critical,True
prchunk_e876af01778ac9334620,prdoc_2a821b9cecaaa89bbfaa,5,Unified review priority,306,41,pallets/flask,5460,Critical,Critical,True
prchunk_7289146d6bcee2ab42da,prdoc_551fc8566d45fc88bf1a,0,PR identity,258,35,pallets/flask,4936,Critical,Critical,True
prchunk_8b73be70429b0ceb6550,prdoc_551fc8566d45fc88bf1a,1,PR description,1307,180,pallets/flask,4936,Critical,Critical,True
prchunk_3597c007141fdf4f2ac7,prdoc_551fc8566d45fc88bf1a,2,PR description,294,55,pallets/flask,4936,Critical,Critical,True
prchunk_f9c0787951a9f7becd2d,prdoc_551fc8566d45fc88bf1a,3,Change evidence,407,68,pallets/flask,4936,Critical,Critical,True
prchunk_4d4821fd0fedd0568051,prdoc_551fc8566d45fc88bf1a,4,Predictive intelligence,474,67,pallets/flask,4936,Critical,Critical,True
prchunk_0dbba4cd56f23a7d2c6a,prdoc_551fc8566d45fc88bf1a,5,Deterministic policy intelligence,874,117,pallets/flask,4936,Critical,Critical,True
prchunk_ff5215ba11f03d2a2058,prdoc_551fc8566d45fc88bf1a,6,Unified review priority,306,41,pallets/flask,4936,Critical,Critical,True
prchunk_c66039d03a1975011f62,prdoc_d3c64c45fa73fe9556e5,0,PR identity,246,35,pallets/flask,5713,Critical,Critical,True
prchunk_94b38e386099d063248c,prdoc_d3c64c45fa73fe9556e5,1,PR description,960,160,pallets/flask,5713,Critical,Critical,True
prchunk_6199423820f9e5a38495,prdoc_d3c64c45fa73fe9556e5,2,Change evidence,418,68,pallets/flask,5713,Critical,Critical,True
prchunk_4498c842b2a473077779,prdoc_d3c64c45fa73fe9556e5,3,Predictive intelligence,474,67,pallets/flask,5713,Critical,Critical,True
prchunk_c7c05f84816c66381682,prdoc_d3c64c45fa73fe9556e5,4,Deterministic policy intelligence,967,129,pallets/flask,5713,Critical,Critical,True
prchunk_ed6783fbdfdaa4c26267,prdoc_d3c64c45fa73fe9556e5,5,Unified review priority,306,41,pallets/flask,5713,Critical,Critical,True
prchunk_5b9ed4013622e231abd6,prdoc_2cdcb2eda4624dac8174,0,PR identity,290,39,pallets/flask,3733,Critical,Critical,True
prchunk_66dab59e82ed6036ea72,prdoc_2cdcb2eda4624dac8174,1,PR description,405,58,pallets/flask,3733,Critical,Critical,True
prchunk_2cb529165a4b2c400c2f,prdoc_2cdcb2eda4624dac8174,2,Change evidence,404,68,pallets/flask,3733,Critical,Critical,True
prchunk_18ae1074ff87b1e15bc0,prdoc_2cdcb2eda4624dac8174,3,Predictive intelligence,474,67,pallets/flask,3733,Critical,Critical,True
prchunk_858cc72ade5c90ef3c2f,prdoc_2cdcb2eda4624dac8174,4,Deterministic policy intelligence,869,116,pallets/flask,3733,Critical,Critical,True
prchunk_45889ee1946d64fca2a2,prdoc_2cdcb2eda4624dac8174,5,Unified review priority,306,41,pallets/flask,3733,Critical,Critical,True
prchunk_30ac77b4a2556b9eb21a,prdoc_d6300fe17906f83c0a7e,0,PR identity,292,38,pallets/flask,5795,Critical,Critical,True
prchunk_7303f444eff039b8ce3d,prdoc_d6300fe17906f83c0a7e,1,PR description,1179,180,pallets/flask,5795,Critical,Critical,True
prchunk_dc4fa88e2a70935b011c,prdoc_d6300fe17906f83c0a7e,2,PR description,576,75,pallets/flask,5795,Critical,Critical,True
prchunk_0e86d92277501a88cb9e,prdoc_d6300fe17906f83c0a7e,3,Change evidence,405,68,pallets/flask,5795,Critical,Critical,True
prchunk_396ed77ad012c3a0a90e,prdoc_d6300fe17906f83c0a7e,4,Predictive intelligence,430,60,pallets/flask,5795,Critical,Critical,True
prchunk_83eb28f67270cafedc0c,prdoc_d6300fe17906f83c0a7e,5,Deterministic policy intelligence,763,100,pallets/flask,5795,Critical,Critical,True
prchunk_e9e611212d0f93fe9ebd,prdoc_d6300fe17906f83c0a7e,6,Unified review priority,306,41,pallets/flask,5795,Critical,Critical,True
prchunk_99aacd5c713fc011cd52,prdoc_65c370e5d5b0473a2b71,0,PR identity,278,38,pallets/flask,5695,Critical,Critical,True
prchunk_6255f29cb75ad3d32ecd,prdoc_65c370e5d5b0473a2b71,1,PR description,577,82,pallets/flask,5695,Critical,Critical,True
prchunk_41a3393352504f254bd5,prdoc_65c370e5d5b0473a2b71,2,Change evidence,404,68,pallets/flask,5695,Critical,Critical,True
prchunk_f7392a42634ec82df26e,prdoc_65c370e5d5b0473a2b71,3,Predictive intelligence,426,59,pallets/flask,5695,Critical,Critical,True
prchunk_0d189c418de13fb2c002,prdoc_65c370e5d5b0473a2b71,4,Deterministic policy intelligence,634,88,pallets/flask,5695,Critical,Critical,True
prchunk_ad39567f951f6659bd4e,prdoc_65c370e5d5b0473a2b71,5,Unified review priority,306,41,pallets/flask,5695,Critical,Critical,True
prchunk_289408317c6755706546,prdoc_24c4580b01e459d3aa4d,0,PR identity,270,39,pallets/flask,3876,Critical,Critical,True
prchunk_ce40871e7a4dd9be009f,prdoc_24c4580b01e459d3aa4d,1,PR description,264,40,pallets/flask,3876,Critical,Critical,True
prchunk_fd21fef74af5eac69ef6,prdoc_24c4580b01e459d3aa4d,2,Change evidence,421,68,pallets/flask,3876,Critical,Critical,True
prchunk_ba703eb3a9c5cb39c524,prdoc_24c4580b01e459d3aa4d,3,Predictive intelligence,474,67,pallets/flask,3876,Critical,Critical,True
prchunk_89773e6fd01d3ab3dce4,prdoc_24c4580b01e459d3aa4d,4,Deterministic policy intelligence,983,128,pallets/flask,3876,Critical,Critical,True
prchunk_e4e6ec0dcb26cedb793c,prdoc_24c4580b01e459d3aa4d,5,Unified review priority,306,41,pallets/flask,3876,Critical,Critical,True
prchunk_11c3711fa41955c44efc,prdoc_8af2e53a908b4619aa28,0,PR identity,285,34,pallets/flask,5377,Critical,Critical,True
prchunk_a207bd771394df6cffc8,prdoc_8af2e53a908b4619aa28,1,PR description,366,34,pallets/flask,5377,Critical,Critical,True
prchunk_922bdbe83e2deece2168,prdoc_8af2e53a908b4619aa28,2,Change evidence,403,68,pallets/flask,5377,Critical,Critical,True
prchunk_c7a416ccd15cd5a87404,prdoc_8af2e53a908b4619aa28,3,Predictive intelligence,430,60,pallets/flask,5377,Critical,Critical,True
prchunk_ac9b4c9ffb7ed193f98f,prdoc_8af2e53a908b4619aa28,4,Deterministic policy intelligence,862,112,pallets/flask,5377,Critical,Critical,True
prchunk_a487ea0791b4cff76005,prdoc_8af2e53a908b4619aa28,5,Unified review priority,306,41,pallets/flask,5377,Critical,Critical,True
prchunk_8daefc4825f4c2c308ab,prdoc_5ad6c8bb7ed4995adac2,0,PR identity,244,33,pallets/flask,5727,Critical,Critical,True
prchunk_f6496155340b41ebbca1,prdoc_5ad6c8bb7ed4995adac2,1,PR description,965,177,pallets/flask,5727,Critical,Critical,True
prchunk_23d03427c7e7a9a448c8,prdoc_5ad6c8bb7ed4995adac2,2,Change evidence,415,68,pallets/flask,5727,Critical,Critical,True
prchunk_b02fe77a67c10ccd65d7,prdoc_5ad6c8bb7ed4995adac2,3,Predictive intelligence,414,57,pallets/flask,5727,Critical,Critical,True
prchunk_6ef4daa93e0ca5cf173f,prdoc_5ad6c8bb7ed4995adac2,4,Deterministic policy intelligence,853,114,pallets/flask,5727,Critical,Critical,True
prchunk_70be27fce72705cd997e,prdoc_5ad6c8bb7ed4995adac2,5,Unified review priority,306,41,pallets/flask,5727,Critical,Critical,True
prchunk_4eefba32606233c0b5e3,prdoc_57fe185a86bde8fec56b,0,PR identity,280,37,pallets/flask,5865,Critical,Critical,True
prchunk_d4763fea6036ff06e405,prdoc_57fe185a86bde8fec56b,1,PR description,1140,180,pallets/flask,5865,Critical,Critical,True
prchunk_83aad8ad6e19c78f1d71,prdoc_57fe185a86bde8fec56b,2,PR description,240,43,pallets/flask,5865,Critical,Critical,True
prchunk_072c9389a3ed75386aee,prdoc_57fe185a86bde8fec56b,3,Change evidence,403,68,pallets/flask,5865,Critical,Critical,True
prchunk_d6a10e3ef5f3b42756b6,prdoc_57fe185a86bde8fec56b,4,Predictive intelligence,430,60,pallets/flask,5865,Critical,Critical,True
prchunk_e2ea78cf85b054380d51,prdoc_57fe185a86bde8fec56b,5,Deterministic policy intelligence,763,100,pallets/flask,5865,Critical,Critical,True
prchunk_13299287cc086f62e0c3,prdoc_57fe185a86bde8fec56b,6,Unified review priority,306,41,pallets/flask,5865,Critical,Critical,True
prchunk_303ebcd443e364f7085d,prdoc_6f766227dcbf0e9e163e,0,PR identity,276,38,pallets/flask,5449,Critical,Critical,True
prchunk_f7182e5cccb3a64c71be,prdoc_6f766227dcbf0e9e163e,1,PR description,332,54,pallets/flask,5449,Critical,Critical,True
prchunk_2a802284247c6b884c65,prdoc_6f766227dcbf0e9e163e,2,Change evidence,427,68,pallets/flask,5449,Critical,Critical,True
prchunk_3ed61900debe0e876ba8,prdoc_6f766227dcbf0e9e163e,3,Predictive intelligence,474,67,pallets/flask,5449,Critical,Critical,True
prchunk_d1107ef1733d8f1f3ccf,prdoc_6f766227dcbf0e9e163e,4,Deterministic policy intelligence,983,128,pallets/flask,5449,Critical,Critical,True
prchunk_72a978c8d116eb97af47,prdoc_6f766227dcbf0e9e163e,5,Unified review priority,306,41,pallets/flask,5449,Critical,Critical,True
prchunk_12c7dfd97cdfb85da7a1,prdoc_1e5a4e3009ce383f389d,0,PR identity,292,41,pallets/flask,4173,Critical,Critical,True
prchunk_367a4cbecf70857824d9,prdoc_1e5a4e3009ce383f389d,1,PR description,204,30,pallets/flask,4173,Critical,Critical,True
prchunk_67c5547938330269bcfb,prdoc_1e5a4e3009ce383f389d,2,Change evidence,417,68,pallets/flask,4173,Critical,Critical,True
prchunk_5d663c625532e48b8af3,prdoc_1e5a4e3009ce383f389d,3,Predictive intelligence,470,66,pallets/flask,4173,Critical,Critical,True
prchunk_bf2c6112b5f456d55b95,prdoc_1e5a4e3009ce383f389d,4,Deterministic policy intelligence,1063,143,pallets/flask,4173,Critical,Critical,True
prchunk_7f856cf495f2329f9959,prdoc_1e5a4e3009ce383f389d,5,Unified review priority,306,41,pallets/flask,4173,Critical,Critical,True
prchunk_5c0b3fe524b9c96cb111,prdoc_05204bf6ef5a0fea869f,0,PR identity,299,43,pallets/flask,5423,Critical,Critical,True
prchunk_052bab5858e7289a139c,prdoc_05204bf6ef5a0fea869f,1,PR description,348,59,pallets/flask,5423,Critical,Critical,True
prchunk_a48b11b512e202375741,prdoc_05204bf6ef5a0fea869f,2,Change evidence,403,68,pallets/flask,5423,Critical,Critical,True
prchunk_6a559bcfc6d628fb405c,prdoc_05204bf6ef5a0fea869f,3,Predictive intelligence,426,59,pallets/flask,5423,Critical,Critical,True
prchunk_27c13f68c5ef42e688dc,prdoc_05204bf6ef5a0fea869f,4,Deterministic policy intelligence,862,112,pallets/flask,5423,Critical,Critical,True
prchunk_d68ee23591dadffc6bb1,prdoc_05204bf6ef5a0fea869f,5,Unified review priority,306,41,pallets/flask,5423,Critical,Critical,True
prchunk_04e96ad2562aefa769b7,prdoc_cc8ef61c677618f75e7b,0,PR identity,308,44,pallets/flask,5750,Critical,Critical,True
prchunk_d34cd9f78c7746e5bfc3,prdoc_cc8ef61c677618f75e7b,1,PR description,812,112,pallets/flask,5750,Critical,Critical,True
prchunk_41148d4ed44baac18e39,prdoc_cc8ef61c677618f75e7b,2,Change evidence,404,68,pallets/flask,5750,Critical,Critical,True
prchunk_e3c358ae092d1d7b0f62,prdoc_cc8ef61c677618f75e7b,3,Predictive intelligence,474,67,pallets/flask,5750,Critical,Critical,True
prchunk_770d5616d1b8e325b537,prdoc_cc8ef61c677618f75e7b,4,Deterministic policy intelligence,634,88,pallets/flask,5750,Critical,Critical,True
prchunk_5ced3d23f192ca951742,prdoc_cc8ef61c677618f75e7b,5,Unified review priority,306,41,pallets/flask,5750,Critical,Critical,True
prchunk_a65a50275e19bbda3978,prdoc_c3a32848bab7e6b17db3,0,PR identity,285,34,pallets/flask,4833,Critical,Critical,True
prchunk_33266c7f6d2ac9b125ed,prdoc_c3a32848bab7e6b17db3,1,PR description,496,39,pallets/flask,4833,Critical,Critical,True
prchunk_95f23e91f85a69396df7,prdoc_c3a32848bab7e6b17db3,2,Change evidence,403,68,pallets/flask,4833,Critical,Critical,True
prchunk_1262050e2cdfda628208,prdoc_c3a32848bab7e6b17db3,3,Predictive intelligence,426,59,pallets/flask,4833,Critical,Critical,True
prchunk_1a0be2fbe39857f52302,prdoc_c3a32848bab7e6b17db3,4,Deterministic policy intelligence,862,112,pallets/flask,4833,Critical,Critical,True
prchunk_7cd637991e3217b4094b,prdoc_c3a32848bab7e6b17db3,5,Unified review priority,306,41,pallets/flask,4833,Critical,Critical,True
prchunk_8c1f56ad36e5477cfd01,prdoc_ef0c730d0df57e10c7cf,0,PR identity,311,42,pallets/flask,3737,Critical,Critical,True
prchunk_be21b272de1c24ae4444,prdoc_ef0c730d0df57e10c7cf,1,PR description,627,90,pallets/flask,3737,Critical,Critical,True
prchunk_b8859ab1641508b41305,prdoc_ef0c730d0df57e10c7cf,2,Change evidence,403,68,pallets/flask,3737,Critical,Critical,True
prchunk_c7b238aa6bd09527bb0e,prdoc_ef0c730d0df57e10c7cf,3,Predictive intelligence,474,67,pallets/flask,3737,Critical,Critical,True
prchunk_bc1c54266309984d955e,prdoc_ef0c730d0df57e10c7cf,4,Deterministic policy intelligence,634,88,pallets/flask,3737,Critical,Critical,True
prchunk_d6f295c7c599f2e42b5b,prdoc_ef0c730d0df57e10c7cf,5,Unified review priority,306,41,pallets/flask,3737,Critical,Critical,True
prchunk_30eca294443b49ae1f39,prdoc_207d1edd1e836be34626,0,PR identity,279,35,pallets/flask,3524,Critical,Critical,True
prchunk_67f5913816c097684397,prdoc_207d1edd1e836be34626,1,PR description,1131,145,pallets/flask,3524,Critical,Critical,True
prchunk_c828731b44ff2e0506e0,prdoc_207d1edd1e836be34626,2,Change evidence,403,68,pallets/flask,3524,Critical,Critical,True
prchunk_7f5e4683fa9de91894be,prdoc_207d1edd1e836be34626,3,Predictive intelligence,430,60,pallets/flask,3524,Critical,Critical,True
prchunk_6d9a3f67ac842cfdc59c,prdoc_207d1edd1e836be34626,4,Deterministic policy intelligence,763,100,pallets/flask,3524,Critical,Critical,True
prchunk_2f995525371e9ded2be2,prdoc_207d1edd1e836be34626,5,Unified review priority,306,41,pallets/flask,3524,Critical,Critical,True
prchunk_b895a87368ca82798a14,prdoc_316cf9ed8849c6892a0f,0,PR identity,271,36,pallets/flask,2676,Critical,Critical,True
prchunk_55b391706c6a8cec02ee,prdoc_316cf9ed8849c6892a0f,1,PR description,1058,180,pallets/flask,2676,Critical,Critical,True
prchunk_b82978633f92d4fbdeba,prdoc_316cf9ed8849c6892a0f,2,PR description,836,132,pallets/flask,2676,Critical,Critical,True
prchunk_c79a901aefbb07a40480,prdoc_316cf9ed8849c6892a0f,3,Change evidence,418,68,pallets/flask,2676,Critical,Critical,True
prchunk_d28ec14be939fe9fa021,prdoc_316cf9ed8849c6892a0f,4,Predictive intelligence,426,59,pallets/flask,2676,Critical,Critical,True
prchunk_f670ae18162416b75f43,prdoc_316cf9ed8849c6892a0f,5,Deterministic policy intelligence,768,102,pallets/flask,2676,Critical,Critical,True
prchunk_79a69f673fd120f0660c,prdoc_316cf9ed8849c6892a0f,6,Unified review priority,306,41,pallets/flask,2676,Critical,Critical,True
prchunk_f798df1613276165e93c,prdoc_6d8e56c2d8a28ec78362,0,PR identity,260,36,pallets/flask,3785,Critical,Critical,True
prchunk_920c1faa678f4d21a7b9,prdoc_6d8e56c2d8a28ec78362,1,PR description,312,47,pallets/flask,3785,Critical,Critical,True
prchunk_1554ab43786887db4886,prdoc_6d8e56c2d8a28ec78362,2,Change evidence,404,68,pallets/flask,3785,Critical,Critical,True
prchunk_d9af06a84a6e8b35e709,prdoc_6d8e56c2d8a28ec78362,3,Predictive intelligence,414,57,pallets/flask,3785,Critical,Critical,True
prchunk_e22b626382fed3da42f1,prdoc_6d8e56c2d8a28ec78362,4,Deterministic policy intelligence,862,112,pallets/flask,3785,Critical,Critical,True
prchunk_bdf38ccfd698b97fe022,prdoc_6d8e56c2d8a28ec78362,5,Unified review priority,306,41,pallets/flask,3785,Critical,Critical,True
prchunk_0e322686fc83126f9fbd,prdoc_04fc67667308080af911,0,PR identity,265,36,pallets/flask,4272,Critical,Critical,True
prchunk_a388050c9f8ae60a3aff,prdoc_04fc67667308080af911,1,PR description,656,111,pallets/flask,4272,Critical,Critical,True
prchunk_d23700cd4b768ad10e89,prdoc_04fc67667308080af911,2,Change evidence,427,68,pallets/flask,4272,Critical,Critical,True
prchunk_15787c4023111ae916dc,prdoc_04fc67667308080af911,3,Predictive intelligence,474,67,pallets/flask,4272,Critical,Critical,True
prchunk_13f06f70ff142f28d7c2,prdoc_04fc67667308080af911,4,Deterministic policy intelligence,869,115,pallets/flask,4272,Critical,Critical,True
prchunk_f1414300d2c1981f9c83,prdoc_04fc67667308080af911,5,Unified review priority,306,41,pallets/flask,4272,Critical,Critical,True
prchunk_9098d7dd243cd001a731,prdoc_da535d7432cb8775bdc4,0,PR identity,266,36,pallets/flask,5068,Critical,Critical,True
prchunk_017a3e82025a063b8a84,prdoc_da535d7432cb8775bdc4,1,PR description,890,147,pallets/flask,5068,Critical,Critical,True
prchunk_a1c92d32319271666341,prdoc_da535d7432cb8775bdc4,2,Change evidence,427,68,pallets/flask,5068,Critical,Critical,True
prchunk_a9d7002c8946ea3122c8,prdoc_da535d7432cb8775bdc4,3,Predictive intelligence,474,67,pallets/flask,5068,Critical,Critical,True
prchunk_e0da815962c8c311abfb,prdoc_da535d7432cb8775bdc4,4,Deterministic policy intelligence,869,115,pallets/flask,5068,Critical,Critical,True
prchunk_b6cda289ae184f580804,prdoc_da535d7432cb8775bdc4,5,Unified review priority,306,41,pallets/flask,5068,Critical,Critical,True
prchunk_41b3d23c94efbe44f6b6,prdoc_9eb01be2297d670214e1,0,PR identity,272,36,pallets/flask,3670,Critical,Critical,True
prchunk_817fd0cb80da91e233b0,prdoc_9eb01be2297d670214e1,1,PR description,749,115,pallets/flask,3670,Critical,Critical,True
prchunk_f02826e9808d75156d92,prdoc_9eb01be2297d670214e1,2,Change evidence,421,68,pallets/flask,3670,Critical,Critical,True
prchunk_c6d5fdae5955b015fadd,prdoc_9eb01be2297d670214e1,3,Predictive intelligence,474,67,pallets/flask,3670,Critical,Critical,True
prchunk_45ae00185b35cfa6522f,prdoc_9eb01be2297d670214e1,4,Deterministic policy intelligence,869,115,pallets/flask,3670,Critical,Critical,True
prchunk_2141b4dc46d2d4af497c,prdoc_9eb01be2297d670214e1,5,Unified review priority,306,41,pallets/flask,3670,Critical,Critical,True
prchunk_ad8342c52bfc1ab005e1,prdoc_3ddd4e7badcdcccf372a,0,PR identity,261,33,pallets/flask,3183,Critical,Critical,True
prchunk_97c3bb8075e7640be73f,prdoc_3ddd4e7badcdcccf372a,1,PR description,223,27,pallets/flask,3183,Critical,Critical,True
prchunk_895012051ead821b0016,prdoc_3ddd4e7badcdcccf372a,2,Change evidence,416,68,pallets/flask,3183,Critical,Critical,True
prchunk_bb845a880333d25613d7,prdoc_3ddd4e7badcdcccf372a,3,Predictive intelligence,413,57,pallets/flask,3183,Critical,Critical,True
prchunk_19133280c7317e902cea,prdoc_3ddd4e7badcdcccf372a,4,Deterministic policy intelligence,986,128,pallets/flask,3183,Critical,Critical,True
prchunk_532010138d2b38f8f638,prdoc_3ddd4e7badcdcccf372a,5,Unified review priority,306,41,pallets/flask,3183,Critical,Critical,True
